Token	Language	Anglicism
del	Spn	no
radicalismo	Spn	no
,	PUNCT	no
Binner	Spn	no
,	PUNCT	no
Lilita	Spn	no
,	PUNCT	no
Margarita	Spn	no
,	PUNCT	no
Pino	Spn	no
,	PUNCT	no
y	Spn	no
todos	Spn	no
los	Spn	no
progres	Spn	no
que	Spn	no
anden	Spn	no
sueltos	Spn	no
por	Spn	no
ahí	Spn	no
,	PUNCT	no
y	Spn	no
del	Spn	no
otro	Spn	no
lado	Spn	no
,	PUNCT	no
un	Spn	no
frente	Spn	no
de	Spn	no
centro	Spn	no
derecha	Spn	no
,	PUNCT	no
conservador	Spn	no
,	PUNCT	no
con	Spn	no
Macri	Spn	no
,	PUNCT	no
el	Spn	no
PJ	Spn	no
disidente	Spn	no
,	PUNCT	no
sindicalistas	Spn	no
varios	Spn	no
y	Spn	no
algún	Spn	no
desprendimiento	Spn	no
medio	Spn	no
rancio	Spn	no
de	Spn	no
la	Spn	no
UCR	Spn	no
.	PUNCT	no
En	Spn	no
lugar	Spn	no
de	Spn	no
eso	Spn	no
,	PUNCT	no
tenemos	Spn	no
a	Spn	no
todos	Spn	no
estos	Spn	no
tipos	Spn	no
desperdigados	Spn	no
y	Spn	no
deambulando	Spn	no
aún	Spn	no
aturdidos	Spn	no
por	Spn	no
el	Spn	no
2001	NUM	no
y	Spn	no
en	Spn	no
el	Spn	no
medio	Spn	no
el	Spn	no
kirchnerismo	Spn	no
,	PUNCT	no
donde	Spn	no
se	Spn	no
mezclan	Spn	no
progresistas	Spn	no
incautos	Spn	no
con	Spn	no
unos	Spn	no
simpáticos	Spn	no
recontrafachos	Spn	no
que	Spn	no
te	Spn	no
la	Spn	no
voglio	Spn	no
dire	Spn	no
.	PUNCT	no
Hay	Spn	no
de	Spn	no
todo	Spn	no
.	PUNCT	no
Desde	Spn	no
los	Spn	no
humildes	Spn	no
genios	Spn	no
que	Spn	no
atacan	Spn	no
a	Spn	no
fracasados	Spn	no
impopulares	Spn	no
como	Spn	no
Suar	Spn	no
,	PUNCT	no
Darín	Spn	no
o	Spn	no
Campanella	Spn	no
,	PUNCT	no
hasta	Spn	no
el	Spn	no
extraño	Spn	no
caso	Spn	no
del	Spn	no
ministro	Spn	no
Puricelli	Spn	no
,	PUNCT	no
el	Spn	no
único	Spn	no
kirchnerista	Spn	no
que	Spn	no
reconoce	Spn	no
errores	Spn	no
.	PUNCT	no
Un	Spn	no
excéntrico	Spn	no
.	PUNCT	no
Primero	Spn	no
asumió	Spn	no
el	Spn	no
error	Spn	no
de	Spn	no
Ghana	Spn	no
y	Spn	no
ahora	Spn	no
dijo	Spn	no
que	Spn	no
se	Spn	no
le	Spn	no
cae	Spn	no
la	Spn	no
cara	Spn	no
de	Spn	no
vergüenza	Spn	no
por	Spn	no
el	Spn	no
buque	Spn	no
hundido	Spn	no
.	PUNCT	no
Rarísimo	Spn	no
.	PUNCT	no
Para	Spn	no
mí	Spn	no
que	Spn	no
mañana	Spn	no
lo	Spn	no
rajan	Spn	no
.	PUNCT	no
A	Spn	no
los	Spn	no
del	Spn	no
Frente	Spn	no
de	Spn	no
centroizquierda	Spn	no
,	PUNCT	no
solo	Spn	no
les	Spn	no
cabe	Spn	no
juntarse	Spn	no
en	Spn	no
un	Spn	no
bar	Spn	no
y	Spn	no
tratar	Spn	no
de	Spn	no
organizar	Spn	no
algo	Spn	no
serio	Spn	no
.	PUNCT	no
Es	Spn	no
eso	Spn	no
o	Spn	no
el	Spn	no
destierro	Spn	no
de	Spn	no
todos	Spn	no
ellos	Spn	no
.	PUNCT	no
Binner	Spn	no
declaró	Spn	no
hace	Spn	no
poco	Spn	no
que	Spn	no
el	Spn	no
FAP	Spn	no
es	Spn	no
la	Spn	no
segunda	Spn	no
fuerza	Spn	no
del	Spn	no
país	Spn	no
y	Spn	no
que	Spn	no
están	Spn	no
sólo	Spn	no
un	Spn	no
escalón	Spn	no
abajo	Spn	no
de	Spn	no
la	Spn	no
Presidenta	Spn	no
.	PUNCT	no
Según	Spn	no
el	Spn	no
Código	Spn	no
de	Spn	no
Edificación	Spn	no
la	Spn	no
alzada	Spn	no
en	Spn	no
escaleras	Spn	no
de	Spn	no
primera	Spn	no
no	Spn	no
puede	Spn	no
superar	Spn	no
los	Spn	no
18	NUM	no
centímetros	Spn	no
.	PUNCT	no
Si	Spn	no
la	Spn	no
Compañera	Spn	no
Jefa	Spn	no
sacó	Spn	no
11	NUM	no
.	PUNCT	no
700	NUM	no
.	PUNCT	no
000	NUM	no
votos	Spn	no
y	Spn	no
Binner	Spn	no
sacó	Spn	no
3	NUM	no
.	PUNCT	no
700	NUM	no
.	PUNCT	no
000	NUM	no
quiere	Spn	no
decir	Spn	no
que	Spn	no
el	Spn	no
escalón	Spn	no
fue	Spn	no
de	Spn	no
8	NUM	no
millones	Spn	no
de	Spn	no
votos	Spn	no
.	PUNCT	no
Como	Spn	no
escalón	Spn	no
es	Spn	no
un	Spn	no
poquito	Spn	no
alto	Spn	no
.	PUNCT	no
Así	Spn	no
nunca	Spn	no
le	Spn	no
van	Spn	no
a	Spn	no
aprobar	Spn	no
los	Spn	no
planos	Spn	no
.	PUNCT	no
Pero	Spn	no
si	Spn	no
se	Spn	no
ayudan	Spn	no
entre	Spn	no
todos	Spn	no
y	Spn	no
encuentran	Spn	no
uno	Spn	no
que	Spn	no
sonría	Spn	no
por	Spn	no
televisión	Spn	no
,	PUNCT	no
pueden	Spn	no
lograr	Spn	no
algo	Spn	no
.	PUNCT	no
Del	Spn	no
otro	Spn	no
lado	Spn	no
,	PUNCT	no
en	Spn	no
el	Spn	no
Frente	Spn	no
de	Spn	no
centroderecha	Spn	no
todo	Spn	no
parece	Spn	no
indicar	Spn	no
que	Spn	no
lo	Spn	no
lideraría	Spn	no
el	Spn	no
Compañero	Spn	no
Mauri	Spn	no
.	PUNCT	no
El	Spn	no
tipo	Spn	no
declaró	Spn	no
que	Spn	no
está	Spn	no
armando	Spn	no
“	PUNCT	no
el	Spn	no
mejor	Spn	no
equipo	Spn	no
que	Spn	no
se	Spn	no
haya	Spn	no
visto	Spn	no
desde	Spn	no
Frondizi	Spn	no
para	Spn	no
acá	Spn	no
”	PUNCT	no
.	PUNCT	no
Por	Spn	no
ahora	Spn	no
solo	Spn	no
consiguió	Spn	no
a	Spn	no
Miguel	Spn	no
Del	Spn	no
Sel	Spn	no
,	PUNCT	no
al	Spn	no
árbitro	Spn	no
Baldassi	Spn	no
,	PUNCT	no
al	Spn	no
Colorado	Spn	no
Mac	Spn	no
Allister	Spn	no
y	Spn	no
al	Spn	no
hermano	Spn	no
de	Spn	no
Ginóbili	Spn	no
.	PUNCT	no
Para	Spn	no
colmo	Spn	no
esta	Spn	no
semana	Spn	no
se	Spn	no
le	Spn	no
complicó	Spn	no
un	Spn	no
poquito	Spn	no
porque	Spn	no
se	Spn	no
le	Spn	no
bajó	Spn	no
Rocío	Spn	no
Marengo	Spn	no
,	PUNCT	no
quien	Spn	no
ahora	Spn	no
fue	Spn	no
tentada	Spn	no
por	Spn	no
La	Spn	no
Cámpora	Spn	no
(	PUNCT	no
mucha	Spn	no
militancia	Spn	no
,	PUNCT	no
mucho	Spn	no
pibes	Spn	no
para	Spn	no
la	Spn	no
liberación	Spn	no
,	PUNCT	no
pero	Spn	no
en	Spn	no
el	Spn	no
fondo	Spn	no
están	Spn	no
más	Spn	no
calientes	Spn	no
que	Spn	no
un	Spn	no
búfalo	Spn	no
en	Spn	no
celo	Spn	no
)	PUNCT	no
.	PUNCT	no
Veremos	Spn	no
.	PUNCT	no
El	Spn	no
kirchnerismo	Spn	no
enfrenta	Spn	no
las	Spn	no
elecciones	Spn	no
evaluando	Spn	no
varios	Spn	no
escenarios	Spn	no
:	PUNCT	no
Opción	Spn	no
1	NUM	no
:	PUNCT	no
Ganan	Spn	no
por	Spn	no
afano	Spn	no
,	PUNCT	no
incendian	Spn	no
la	Spn	no
Constitución	Spn	no
y	Spn	no
al	Spn	no
que	Spn	no
no	Spn	no
le	Spn	no
guste	Spn	no
que	Spn	no
se	Spn	no
exilie	Spn	no
.	PUNCT	no
Casi	Spn	no
imposible	Spn	no
.	PUNCT	no
Opción	Spn	no
2	NUM	no
:	PUNCT	no
ganan	Spn	no
pero	Spn	no
no	Spn	no
les	Spn	no
alcanza	Spn	no
,	PUNCT	no
entonces	Spn	no
sacan	Spn	no
la	Spn	no
militancia	Spn	no
a	Spn	no
la	Spn	no
calle	Spn	no
y	Spn	no
justifican	Spn	no
con	Spn	no
el	Spn	no
clamor	Spn	no
popular	Spn	no
el	Spn	no
incendio	Spn	no
de	Spn	no
la	Spn	no
Constitución	Spn	no
.	PUNCT	no
Difícil	Spn	no
.	PUNCT	no
Opción	Spn	no
3	NUM	no
:	PUNCT	no
hacen	Spn	no
una	Spn	no
elección	Spn	no
flojita	Spn	no
y	Spn	no
empieza	Spn	no
el	Spn	no
calvario	Spn	no
hacia	Spn	no
2015	NUM	no
.	PUNCT	no
El	Spn	no
calvario	Spn	no
tiene	Spn	no
varios	Spn	no
planes	Spn	no
.	PUNCT	no
El	Spn	no
plan	Spn	no
A	Spn	no
era	Spn	no
la	Spn	no
elección	Spn	no
de	Spn	no
un	Spn	no
delfín	Spn	no
que	Spn	no
originalmente	Spn	no
fue	Spn	no
Boudou	Spn	no
,	PUNCT	no
pero	Spn	no
el	Spn	no
plan	Spn	no
falló	Spn	no
porque	Spn	no
el	Spn	no
tipo	Spn	no
más	Spn	no
que	Spn	no
un	Spn	no
delfín	Spn	no
resultó	Spn	no
ser	Spn	no
una	Spn	no
raba	Spn	no
.	PUNCT	no
Ahora	Spn	no
,	PUNCT	no
para	Spn	no
congraciarse	Spn	no
con	Spn	no
la	Spn	no
Compañera	Spn	no
Jefa	Spn	no
,	PUNCT	no
se	Spn	no
le	Spn	no
dio	Spn	no
por	Spn	no
atacar	Spn	no
a	Spn	no
Scioli	Spn	no
.	PUNCT	no
No	Spn	no
le	Spn	no
va	Spn	no
a	Spn	no
alcanzar	Spn	no
.	PUNCT	no
Como	Spn	no
mucho	Spn	no
llegará	Spn	no
a	Spn	no
filet	Spn	no
de	Spn	no
merluza	Spn	no
.	PUNCT	no
De	Spn	no
ahí	Spn	no
no	Spn	no
pasa	Spn	no
.	PUNCT	no
Allí	Spn	no
se	Spn	no
activa	Spn	no
el	Spn	no
plan	Spn	no
B	Spn	no
:	PUNCT	no
candidatear	Spn	no
a	Spn	no
algún	Spn	no
experimentado	Spn	no
de	Spn	no
la	Spn	no
banda	Spn	no
que	Spn	no
ande	Spn	no
revoloteando	Spn	no
la	Spn	no
Rosada	Spn	no
,	PUNCT	no
como	Spn	no
Capitanich	Spn	no
,	PUNCT	no
Randazzo	Spn	no
,	PUNCT	no
Aníbal	Spn	no
o	Spn	no
algún	Spn	no
otro	Spn	no
.	PUNCT	no
Pero	Spn	no
lo	Spn	no
más	Spn	no
probable	Spn	no
es	Spn	no
que	Spn	no
la	Spn	no
Jefa	Spn	no
los	Spn	no
siente	Spn	no
a	Spn	no
todos	Spn	no
de	Spn	no
orto	Spn	no
porque	Spn	no
en	Spn	no
el	Spn	no
fondo	Spn	no
no	Spn	no
confía	Spn	no
en	Spn	no
ninguno	Spn	no
de	Spn	no
ellos	Spn	no
.	PUNCT	no
Lo	Spn	no
bien	Spn	no
que	Spn	no
hace	Spn	no
,	PUNCT	no
yo	Spn	no
tampoco	Spn	no
.	PUNCT	no
Además	Spn	no
ya	Spn	no
están	Spn	no
todos	Spn	no
medio	Spn	no
baqueta	Spn	no
.	PUNCT	no
El	Spn	no
plan	Spn	no
C	Spn	no
sería	Spn	no
recrear	Spn	no
aquel	Spn	no
“	PUNCT	no
Cámpora	Spn	no
al	Spn	no
gobierno	Spn	no
,	PUNCT	no
Perón	Spn	no
al	Spn	no
poder	Spn	no
”	Spn	no
y	Spn	no
transformarlo	Spn	no
en	Spn	no
“	Spn	no
La	Spn	no
Cámpora	Spn	no
al	Spn	no
gobierno	Spn	no
,	PUNCT	no
Ella	Spn	no
al	Spn	no
poder	Spn	no
”	PUNCT	no
.	PUNCT	no
El	Spn	no
problema	Spn	no
es	Spn	no
que	Spn	no
ni	Spn	no
La	Spn	no
Cámpora	Spn	no
es	Spn	no
Cámpora	Spn	no
,	PUNCT	no
ni	Spn	no
Ella	Spn	no
es	Spn	no
Perón	Spn	no
.	PUNCT	no
Tampoco	Spn	no
Macri	Spn	no
es	Spn	no
Manrique	Spn	no
,	PUNCT	no
ni	Spn	no
Binner	Spn	no
es	Spn	no
Alende	Spn	no
,	PUNCT	no
ni	Spn	no
Ricardito	Spn	no
Alfonsín	Spn	no
es	Spn	no
Balbín	Spn	no
,	PUNCT	no
ni	Spn	no
el	Spn	no
tren	Spn	no
a	Spn	no
Mar	Spn	no
del	Spn	no
Plata	Spn	no
de	Spn	no
2013	NUM	no
es	Spn	no
el	Spn	no
tren	Spn	no
a	Spn	no
Mar	Spn	no
del	Spn	no
Plata	Spn	no
de	Spn	no
1973	NUM	no
,	PUNCT	no
ni	Spn	no
Silva	Spn	no
es	Spn	no
Curioni	Spn	no
,	PUNCT	no
ni	Spn	no
Funes	Spn	no
Mori	Spn	no
es	Spn	no
Morete	Spn	no
,	PUNCT	no
ni	Spn	no
la	Spn	no
revista	Spn	no
porteña	Spn	no
es	Spn	no
la	Spn	no
revista	Spn	no
porteña	Spn	no
,	PUNCT	no
y	Spn	no
paro	Spn	no
acá	Spn	no
porque	Spn	no
nos	Spn	no
vamos	Spn	no
a	Spn	no
poner	Spn	no
todos	Spn	no
a	Spn	no
llorar	Spn	no
.	PUNCT	no
Al	Spn	no
kirchnerismo	Spn	no
sólo	Spn	no
le	Spn	no
quedaría	Spn	no
el	Spn	no
Plan	Spn	no
D	Spn	no
que	Spn	no
para	Spn	no
ellos	Spn	no
es	Spn	no
la	Spn	no
suma	Spn	no
de	Spn	no
todos	Spn	no
los	Spn	no
miedos	Spn	no
,	PUNCT	no
la	Spn	no
peor	Spn	no
pesadilla	Spn	no
,	PUNCT	no
el	Spn	no
infierno	Spn	no
tan	Spn	no
temido	Spn	no
:	PUNCT	no
Daniel	Spn	no
el	Spn	no
Rebueno	Spn	no
2015	NUM	no
.	PUNCT	no
Que	Spn	no
el	Spn	no
Compañero	Spn	no
Scioli	Spn	no
sea	Spn	no
la	Spn	no
lancha	Spn	no
salvavidas	Spn	no
del	Spn	no
kirchnerismo	Spn	no
y	Spn	no
quizá	Spn	no
del	Spn	no
peronismo	Spn	no
es	Spn	no
algo	Spn	no
que	Spn	no
ni	Spn	no
Perón	Spn	no
ni	Spn	no
Kirchner	Spn	no
ni	Spn	no
nadie	Spn	no
en	Spn	no
este	Spn	no
mundo	Spn	no
imaginó	Spn	no
jamás	Spn	no
.	PUNCT	no
Pero	Spn	no
así	Spn	no
parece	Spn	no
ser	Spn	no
.	PUNCT	no
A	Spn	no
su	Spn	no
vez	Spn	no
,	PUNCT	no
esto	Spn	no
plantea	Spn	no
dos	Spn	no
escenarios	Spn	no
.	PUNCT	no
Plan	Spn	no
D1	Spn	no
:	PUNCT	no
el	Spn	no
kirchnerismo	Spn	no
se	Spn	no
aferra	Spn	no
a	Spn	no
la	Spn	no
lancha	Spn	no
de	Spn	no
Scioli	Spn	no
y	Spn	no
reza	Spn	no
para	Spn	no
que	Spn	no
el	Spn	no
peronismo	Spn	no
profundo	Spn	no
no	Spn	no
venga	Spn	no
después	Spn	no
a	Spn	no
cobrarles	Spn	no
la	Spn	no
cuenta	Spn	no
.	PUNCT	no
El	Spn	no
Plan	Spn	no
D2	Spn	no
es	Spn	no
la	Spn	no
Gran	Spn	no
Menem	Spn	no
99	NUM	no
.	PUNCT	no
En	Spn	no
su	Spn	no
momento	Spn	no
,	PUNCT	no
el	Spn	no
Turco	Spn	no
pensó	Spn	no
:	PUNCT	no
“	Spn	no
Le	Spn	no
saboteo	Spn	no
la	Spn	no
candidatura	Spn	no
a	Spn	no
Duhalde	Spn	no
,	PUNCT	no
lo	Spn	no
ayudo	Spn	no
a	Spn	no
ganar	Spn	no
a	Spn	no
De	Spn	no
La	Spn	no
Rúa	Spn	no
y	Spn	no
yo	Spn	no
me	Spn	no
quedo	Spn	no
como	Spn	no
jefe	Spn	no
de	Spn	no
la	Spn	no
oposición	Spn	no
,	PUNCT	no
muerto	Spn	no
de	Spn	no
risa	Spn	no
viendo	Spn	no
como	Spn	no
a	Spn	no
la	Spn	no
Alianza	Spn	no
le	Spn	no
explota	Spn	no
la	Spn	no
bomba	Spn	no
de	Spn	no
la	Spn	no
convertibilidad	Spn	no
en	Spn	no
la	Spn	no
mano	Spn	no
”	Spn	no
.	PUNCT	no
¿	PUNCT	no
Preferirá	Spn	no
la	Spn	no
Jefa	Spn	no
hundir	Spn	no
a	Spn	no
Scioli	Spn	no
o	Spn	no
a	Spn	no
Massa	Spn	no
o	Spn	no
a	Spn	no
De	Spn	no
La	Spn	no
Sota	Spn	no
,	PUNCT	no
y	Spn	no
ayudar	Spn	no
a	Spn	no
Macri	Spn	no
por	Spn	no
debajo	Spn	no
de	Spn	no
la	Spn	no
mesa	Spn	no
?	PUNCT	no
¿	PUNCT	no
Será	Spn	no
que	Spn	no
putea	Spn	no
al	Spn	no
Compañero	Spn	no
Mauri	Spn	no
todos	Spn	no
los	Spn	no
días	Spn	no
para	Spn	no
transformarlo	Spn	no
en	Spn	no
el	Spn	no
líder	Eng-AdaptedAng	yes
de	Spn	no
la	Spn	no
oposición	Spn	no
,	PUNCT	no
ayudarlo	Spn	no
a	Spn	no
ganar	Spn	no
para	Spn	no
luego	Spn	no
sentarse	Spn	no
en	Spn	no
El	Spn	no
Calafate	Spn	no
y	Spn	no
levantarle	Spn	no
su	Spn	no
famoso	Spn	no
dedito	Spn	no
cada	Spn	no
vez	Spn	no
que	Spn	no
trastabille	Spn	no
?	PUNCT	no
No	Spn	no
hay	Spn	no
que	Spn	no
comparar	Spn	no
porque	Spn	no
todos	Spn	no
sabemos	Spn	no
que	Spn	no
el	Spn	no
menemismo	Spn	no
y	Spn	no
el	Spn	no
kirchnerismo	Spn	no
son	Spn	no
el	Spn	no
día	Spn	no
y	Spn	no
la	Spn	no
noche	Spn	no
(	PUNCT	no
en	Spn	no
el	Spn	no
norte	Spn	no
de	Spn	no
Noruega	Spn	no
en	Spn	no
invierno	Spn	no
)	PUNCT	no
.	PUNCT	no
¿	PUNCT	no
Y	Spn	no
si	Spn	no
en	Spn	no
la	Spn	no
confusión	Spn	no
se	Spn	no
les	Spn	no
cuela	Spn	no
un	Spn	no
Binner	Spn	no
?	PUNCT	no
¿	PUNCT	no
O	Spn	no
un	Spn	no
tapado	Spn	no
?	PUNCT	no
Esta	Spn	no
semana	Spn	no
Obama	Eng-NE	no
asumió	Spn	no
su	Spn	no
último	Spn	no
mandato	Spn	no
.	PUNCT	no
Por	Spn	no
bueno	Spn	no
que	Spn	no
sea	Spn	no
,	PUNCT	no
en	Spn	no
cuatro	Spn	no
años	Spn	no
termina	Spn	no
y	Spn	no
se	Spn	no
va	Spn	no
a	Spn	no
casita	Spn	no
como	Spn	no
Dios	Spn	no
manda	Spn	no
.	PUNCT	no
Un	Spn	no
plomo	Spn	no
.	PUNCT	no
Esos	Spn	no
tipos	Spn	no
no	Spn	no
saben	Spn	no
la	Spn	no
joda	Spn	no
que	Spn	no
se	Spn	no
pierden	Spn	no
.	PUNCT	no
Facundo	Spn	no
y	Spn	no
su	Spn	no
galera	Spn	no
,	PUNCT	no
al	Spn	no
frente	Spn	no
de	Spn	no
su	Spn	no
banda	Spn	no
.	PUNCT	no
'	PUNCT	no
Yo	Spn	no
no	Spn	no
creo	Spn	no
que	Spn	no
el	Spn	no
rock	Eng-UnadaptedAng	yes
se	Spn	no
haya	Spn	no
acercado	Spn	no
a	Spn	no
la	Spn	no
política	Spn	no
,	PUNCT	no
sino	Spn	no
que	Spn	no
fue	Spn	no
al	Spn	no
revés	Spn	no
:	PUNCT	no
los	Spn	no
políticos	Spn	no
se	Spn	no
acercaron	Spn	no
a	Spn	no
los	Spn	no
rockeros	Eng-AdaptedAng	yes
.	PUNCT	no
La	Spn	no
clase	Spn	no
política	Spn	no
estaba	Spn	no
muy	Spn	no
vapuleada	Spn	no
y	Spn	no
necesitaba	Spn	no
limpiar	Spn	no
su	Spn	no
imagen	Spn	no
.	PUNCT	no
Los	Spn	no
que	Spn	no
están	Spn	no
ahora	Spn	no
no	Spn	no
son	Spn	no
santos	Spn	no
de	Spn	no
mi	Spn	no
devoción	Spn	no
,	PUNCT	no
pero	Spn	no
,	PUNCT	no
por	Spn	no
lo	Spn	no
menos	Spn	no
,	PUNCT	no
no	Spn	no
te	Spn	no
sacan	Spn	no
la	Spn	no
guita	Spn	no
del	Spn	no
banco	Spn	no
.	PUNCT	no
'	PUNCT	no
-	PUNCT	no
¿	PUNCT	no
A	Spn	no
vos	Spn	no
nunca	Spn	no
te	Spn	no
interesó	Spn	no
la	Spn	no
política	Spn	no
?	PUNCT	no
-	PUNCT	no
No	Spn	no
,	PUNCT	no
para	Spn	no
nada	Spn	no
.	PUNCT	no
La	Spn	no
política	Spn	no
siempre	Spn	no
estuvo	Spn	no
muy	Spn	no
presente	Spn	no
en	Spn	no
mi	Spn	no
casa	Spn	no
,	PUNCT	no
medio	Spn	no
que	Spn	no
mis	Spn	no
viejos	Spn	no
se	Spn	no
separaron	Spn	no
por	Spn	no
culpa	Spn	no
de	Spn	no
eso	Spn	no
y	Spn	no
de	Spn	no
ahí	Spn	no
que	Spn	no
nunca	Spn	no
me	Spn	no
haya	Spn	no
interesado	Spn	no
.	PUNCT	no
Además	Spn	no
,	PUNCT	no
soy	Spn	no
muy	Spn	no
idealista	Spn	no
para	Spn	no
ser	Spn	no
político	Spn	no
.	PUNCT	no
Las	Spn	no
palabras	Spn	no
de	Spn	no
Facundo	Spn	no
de	Spn	no
Vido	Spn	no
,	PUNCT	no
hijo	Spn	no
de	Spn	no
Julio	Spn	no
De	Spn	no
Vido	Spn	no
,	PUNCT	no
ministro	Spn	no
de	Spn	no
Planificación	Spn	no
Federal	Spn	no
,	PUNCT	no
Inversión	Spn	no
Pública	Spn	no
y	Spn	no
Servicios	Spn	no
,	PUNCT	no
suenan	Spn	no
tajantes	Spn	no
y	Spn	no
se	Spn	no
manifiestan	Spn	no
como	Spn	no
un	Spn	no
tiro	Spn	no
por	Spn	no
elevación	Spn	no
hacia	Spn	no
