Token,label,predicted
geolocalización,FALSE,FALSE
culpa,FALSE,FALSE
esenciales,FALSE,FALSE
org,FALSE,FALSE
importancia,FALSE,FALSE
shopaholic,TRUE,FALSE
populares,FALSE,FALSE
dice,FALSE,FALSE
suburbio,FALSE,FALSE
ampliando,FALSE,FALSE
desnudas,FALSE,FALSE
primer,FALSE,FALSE
opina,FALSE,FALSE
célebres,FALSE,FALSE
revisaran,FALSE,FALSE
compañeros,FALSE,FALSE
book,TRUE,TRUE
calzados,FALSE,FALSE
escuchando,FALSE,FALSE
drama,FALSE,FALSE
fundación,FALSE,FALSE
muffins,TRUE,FALSE
2005,FALSE,FALSE
encargan,FALSE,FALSE
familiares,FALSE,FALSE
diccionario,FALSE,FALSE
asesora,FALSE,FALSE
tendencias,FALSE,FALSE
anécdota,FALSE,FALSE
libre,FALSE,FALSE
refugiado,FALSE,FALSE
vista,FALSE,FALSE
chino,FALSE,FALSE
disponible,FALSE,FALSE
leve,FALSE,FALSE
específica,FALSE,FALSE
desastre,FALSE,FALSE
2015,FALSE,FALSE
práctica,FALSE,FALSE
habitaciones,FALSE,FALSE
divididos,FALSE,FALSE
volver,FALSE,FALSE
piensen,FALSE,FALSE
cuna,FALSE,FALSE
turnarse,FALSE,FALSE
recibe,FALSE,FALSE
incipientes,FALSE,FALSE
2030,FALSE,FALSE
asegurar,FALSE,FALSE
leggings,TRUE,FALSE
1911,FALSE,FALSE
online,TRUE,FALSE
botinetas,FALSE,FALSE
importantes,FALSE,FALSE
existencia,FALSE,FALSE
atravesaba,FALSE,FALSE
advierte,FALSE,FALSE
preciso,FALSE,FALSE
detractores,FALSE,FALSE
importante,FALSE,FALSE
reciben,FALSE,FALSE
logrado,FALSE,FALSE
internet,TRUE,TRUE
sumarse,FALSE,FALSE
total,FALSE,FALSE
tricolor,FALSE,FALSE
escapar,FALSE,FALSE
inspiradas,FALSE,FALSE
conseguida,FALSE,FALSE
negociando,FALSE,FALSE
disco,FALSE,FALSE
pasaría,FALSE,FALSE
pueblo,FALSE,FALSE
mousse,FALSE,FALSE
únicos,FALSE,FALSE
criolla,FALSE,FALSE
alemanes,FALSE,FALSE
ciudad,FALSE,FALSE
sondeos,FALSE,FALSE
militar,FALSE,FALSE
ministro,FALSE,FALSE
buscados,FALSE,FALSE
hará,FALSE,FALSE
maestra,FALSE,FALSE
habitual,FALSE,FALSE
salida,FALSE,FALSE
problema,FALSE,FALSE
paraíso,FALSE,FALSE
vía,FALSE,FALSE
descontracturan,FALSE,FALSE
posguerra,FALSE,FALSE
mudanza,FALSE,FALSE
extranjeros,FALSE,FALSE
abstenciocracia,FALSE,FALSE
está,FALSE,FALSE
don,FALSE,FALSE
adeptos,FALSE,FALSE
británicos,FALSE,FALSE
trabajo,FALSE,FALSE
exigió,FALSE,FALSE
permite,FALSE,FALSE
eventos,FALSE,FALSE
cloc,FALSE,FALSE
italianos,FALSE,FALSE
nigeriano,FALSE,FALSE
bromea,FALSE,FALSE
ruta,FALSE,FALSE
adaptaciones,FALSE,FALSE
conferencias,FALSE,FALSE
relato,FALSE,FALSE
obra,FALSE,FALSE
uego,FALSE,FALSE
cobran,FALSE,FALSE
gobernó,FALSE,FALSE
palabra,FALSE,FALSE
organizado,FALSE,FALSE
buenos,FALSE,FALSE
públicos,FALSE,FALSE
signo,FALSE,FALSE
examina,FALSE,FALSE
jefe,FALSE,FALSE
experiencias,FALSE,FALSE
divo,FALSE,FALSE
raras,FALSE,FALSE
adoptivo,FALSE,FALSE
crédito,FALSE,FALSE
repentinamente,FALSE,FALSE
modificado,FALSE,FALSE
sonar,FALSE,FALSE
real,FALSE,FALSE
inmersión,FALSE,FALSE
obtienen,FALSE,FALSE
resuena,FALSE,FALSE
despierta,FALSE,FALSE
elegir,FALSE,FALSE
describió,FALSE,FALSE
campamento,FALSE,FALSE
prearmada,FALSE,FALSE
impacta,FALSE,FALSE
flan,FALSE,FALSE
apareció,FALSE,FALSE
suponían,FALSE,FALSE
público,FALSE,FALSE
imposible,FALSE,FALSE
comunicó,FALSE,FALSE
escuchaba,FALSE,FALSE
buscar,FALSE,FALSE
inglés,FALSE,FALSE
dominio,FALSE,FALSE
acercarse,FALSE,FALSE
video,FALSE,FALSE
busca,FALSE,FALSE
juzgar,FALSE,FALSE
discapacidad,FALSE,FALSE
tiendas,FALSE,FALSE
esté,FALSE,FALSE
van,FALSE,FALSE
salsa,FALSE,FALSE
referencias,FALSE,FALSE
transacciones,FALSE,FALSE
provocar,FALSE,FALSE
comerciales,FALSE,FALSE
percusión,FALSE,FALSE
adulto,FALSE,FALSE
derrotada,FALSE,FALSE
va,FALSE,FALSE
cómodos,FALSE,FALSE
regulados,FALSE,FALSE
2013,FALSE,FALSE
éticos,FALSE,FALSE
relación,FALSE,FALSE
limusina,FALSE,FALSE
unieron,FALSE,FALSE
cifras,FALSE,FALSE
outlets,TRUE,TRUE
visitó,FALSE,FALSE
autorretrato,FALSE,FALSE
sientas,FALSE,FALSE
hablemos,FALSE,FALSE
adoptó,FALSE,FALSE
incursionar,FALSE,FALSE
de,FALSE,FALSE
residuos,FALSE,FALSE
decisión,FALSE,FALSE
negocios,FALSE,FALSE
diferencial,FALSE,FALSE
directivos,FALSE,FALSE
regalo,FALSE,FALSE
hicieron,FALSE,FALSE
tiente,FALSE,FALSE
querría,FALSE,FALSE
salido,FALSE,FALSE
comunicaron,FALSE,FALSE
velan,FALSE,FALSE
política,FALSE,FALSE
trato,FALSE,FALSE
revista,FALSE,FALSE
llegado,FALSE,FALSE
portavelas,FALSE,FALSE
revisar,FALSE,FALSE
parecer,FALSE,FALSE
cápsulas,FALSE,FALSE
pensado,FALSE,FALSE
llamar,FALSE,FALSE
fiabilidad,FALSE,FALSE
sitio,FALSE,FALSE
pulseada,FALSE,FALSE
título,FALSE,FALSE
zonas,FALSE,FALSE
apodo,FALSE,FALSE
interactúen,FALSE,FALSE
oficiales,FALSE,FALSE
avanzar,FALSE,FALSE
perro,FALSE,FALSE
canela,FALSE,FALSE
laborales,FALSE,FALSE
mascotas,FALSE,FALSE
marea,FALSE,FALSE
repercusión,FALSE,FALSE
buena,FALSE,FALSE
reclaman,FALSE,FALSE
gobierno,FALSE,FALSE
involucrada,FALSE,FALSE
autóctona,FALSE,FALSE
vinculado,FALSE,FALSE
digitalización,FALSE,FALSE
devolver,FALSE,FALSE
apariencia,FALSE,FALSE
puntuales,FALSE,FALSE
forzar,FALSE,FALSE
siguiente,FALSE,FALSE
cuestiona,FALSE,FALSE
estada,FALSE,FALSE
$,FALSE,FALSE
español,FALSE,FALSE
obtener,FALSE,FALSE
2009,FALSE,FALSE
parámetro,FALSE,FALSE
década,FALSE,FALSE
actor,FALSE,FALSE
insólitos,FALSE,FALSE
escritos,FALSE,FALSE
disminuir,FALSE,FALSE
inconsistentes,FALSE,FALSE
incidente,FALSE,FALSE
líder,TRUE,FALSE
cercanía,FALSE,FALSE
mismísima,FALSE,FALSE
exquisita,FALSE,FALSE
cuenta,FALSE,FALSE
disparó,FALSE,FALSE
lenguas,FALSE,FALSE
buen,FALSE,FALSE
penetración,FALSE,FALSE
parenting,TRUE,FALSE
considera,FALSE,FALSE
papilomavirus,FALSE,FALSE
visionario,FALSE,FALSE
males,FALSE,FALSE
cámaras,FALSE,FALSE
pensar,FALSE,FALSE
modas,FALSE,FALSE
mamá,FALSE,FALSE
ideados,FALSE,FALSE
evidente,FALSE,FALSE
expandirá,FALSE,FALSE
comentarios,FALSE,FALSE
baño,FALSE,FALSE
estrenarí,FALSE,FALSE
porteño,FALSE,FALSE
estudiaba,FALSE,FALSE
referirse,FALSE,FALSE
últimos,FALSE,FALSE
mercados,FALSE,FALSE
preocupación,FALSE,FALSE
galicismos,FALSE,FALSE
borrador,FALSE,FALSE
admiración,FALSE,FALSE
primeras,FALSE,FALSE
segundo,FALSE,FALSE
motor,FALSE,FALSE
formaba,FALSE,FALSE
inicio,FALSE,FALSE
humano,FALSE,FALSE
pasan,FALSE,FALSE
simples,FALSE,FALSE
1000,FALSE,FALSE
reconocido,FALSE,FALSE
violentas,FALSE,FALSE
extraño,FALSE,FALSE
episodios,FALSE,FALSE
bienvenida,FALSE,FALSE
imponiéndose,FALSE,FALSE
focas,FALSE,FALSE
carritos,FALSE,FALSE
conviene,FALSE,FALSE
galerías,FALSE,FALSE
conocen,FALSE,FALSE
colores,FALSE,FALSE
recordar,FALSE,FALSE
aprovechar,FALSE,FALSE
orienta,FALSE,FALSE
regularidad,FALSE,FALSE
comercios,FALSE,FALSE
excelentes,FALSE,FALSE
superficial,FALSE,FALSE
amar,FALSE,FALSE
ida,FALSE,FALSE
sorprenden,FALSE,FALSE
explotó,FALSE,FALSE
glamour,TRUE,FALSE
centrales,FALSE,FALSE
permiso,FALSE,FALSE
primeros,FALSE,FALSE
gracias,FALSE,FALSE
amor,FALSE,FALSE
regresa,FALSE,FALSE
rompe,FALSE,FALSE
denunciarlo,FALSE,FALSE
sentido,FALSE,FALSE
J,FALSE,FALSE
suma,FALSE,FALSE
electricidad,FALSE,FALSE
ternura,FALSE,FALSE
semana,FALSE,FALSE
legal,FALSE,FALSE
tomar,FALSE,FALSE
colaboradores,FALSE,FALSE
defendible,FALSE,FALSE
negativas,FALSE,FALSE
sano,FALSE,FALSE
electorales,FALSE,FALSE
conectan,FALSE,FALSE
sacarle,FALSE,FALSE
pararía,FALSE,FALSE
publicaras,FALSE,FALSE
racistas,FALSE,FALSE
divino,FALSE,FALSE
niños,FALSE,FALSE
puntualiza,FALSE,FALSE
maracuyá,FALSE,FALSE
escote,FALSE,FALSE
paseos,FALSE,FALSE
ganancias,FALSE,FALSE
1922,FALSE,FALSE
nuevas,FALSE,FALSE
atrapa,FALSE,FALSE
especialidad,FALSE,FALSE
ofertas,FALSE,FALSE
aspiración,FALSE,FALSE
web,TRUE,FALSE
cambios,FALSE,FALSE
próximo,FALSE,FALSE
punto,FALSE,FALSE
instalada,FALSE,FALSE
arman,FALSE,FALSE
extranjerismos,FALSE,FALSE
pensamiento,FALSE,FALSE
biografía,FALSE,FALSE
oportunidades,FALSE,FALSE
tenga,FALSE,FALSE
generacional,FALSE,FALSE
vagabundeado,FALSE,FALSE
auspiciada,FALSE,FALSE
chico,FALSE,FALSE
sugerían,FALSE,FALSE
existen,FALSE,FALSE
ofrece,FALSE,FALSE
atribuible,FALSE,FALSE
día,FALSE,FALSE
autora,FALSE,FALSE
ingredientes,FALSE,FALSE
actuó,FALSE,FALSE
comenta,FALSE,FALSE
obstante,FALSE,FALSE
cuerpo,FALSE,FALSE
retiro,FALSE,FALSE
hacker,TRUE,TRUE
irse,FALSE,FALSE
paladar,FALSE,FALSE
conjunto,FALSE,FALSE
