Token,Language,POS,NE,Lemma,Anglicism
hashtag,,NOUN,O,hashtag,
#RickyRenuncia,PROPN,PROPN,O,#RickyRenuncia,No
",",PUNCT,PUNCT,O,",",No
Bad,PROPN,PROPN,B,Bad,No
Bunny,PROPN,PROPN,I,Bunny,No
y,CONJ,CONJ,O,y,No
miles,NUM,NUM,O,mil,No
de,ADP,ADP,O,de,No
puertorriqueños,,NOUN,O,puertorriqueño,
pidieron,,VERB,O,pedir,
la,DET,DET,O,lo,No
renuncia,,NOUN,O,renunciar,
del,ADP,ADP,O,del,No
Gobernador,PROPN,PROPN,B,Gobernador,No
de,ADP,ADP,I,de,No
Puerto,PROPN,PROPN,I,Puerto,No
Rico,PROPN,PROPN,I,Rico,No
Ricky,PROPN,PROPN,I,Ricky,No
Rosselló,PROPN,PROPN,I,Rosselló,No
.,PUNCT,PUNCT,O,.,No
Sobre,ADP,ADP,O,Sobre,No
la,DET,DET,O,lo,No
base,,NOUN,O,basar,
del,ADP,ADP,O,del,No
aviso,,NOUN,O,avisar,
oficial,,ADJ,O,oficial,
de,ADP,ADP,O,de,No
Juntos,PROPN,PROPN,B,Juntos,No
por,ADP,ADP,I,por,No
el,DET,DET,I,el,No
Cambio,PROPN,PROPN,I,Cambio,No
",",PUNCT,PUNCT,O,",",No
el,DET,DET,O,el,No
Frente,PROPN,PROPN,B,Frente,No
de,ADP,ADP,I,de,No
Todos,PROPN,PROPN,I,Todos,No
hizo,Stop Word,VERB,O,hacer,No
circular,,VERB,O,circular,
la,DET,DET,O,lo,No
última,Stop Word,ADJ,O,último,No
semana,,NOUN,O,semana,
por,ADP,ADP,O,por,No
redes,,NOUN,O,redar,
sociales,,ADJ,O,social,
#LaCampañaDelVerso,PROPN,PROPN,O,#LaCampañaDelVerso,No
",",PUNCT,PUNCT,O,",",No
una,DET,DET,O,uno,No
serie,,NOUN,O,seriar,
de,ADP,ADP,O,de,No
videos,,NOUN,O,videos,
en,ADP,ADP,O,en,No
los,DET,DET,O,lo,No
que,PRON,PRON,O,que,No
se,PRON,PRON,O,se,No
denuncian,,VERB,O,denunciar,
promesas,,NOUN,O,promesa,
incumplidas,,ADJ,O,incumplir,
del,ADP,ADP,O,del,No
Gobierno,PROPN,PROPN,B,Gobierno,No
.,PUNCT,PUNCT,O,.,No
Los,DET,DET,B,Los,No
misterios,Name Entity,NOUN,I,misterio,No
de,ADP,ADP,I,de,No
la,DET,DET,I,lo,No
campaña,Name Entity,NOUN,I,campaña,No
electoral,Name Entity,ADJ,I,electoral,No
part-time,Name Entity,ADJ,I,part-time,No
de,ADP,ADP,O,de,No
Cristina,PROPN,PROPN,B,Cristina,No
@cristinak,PROPN,PROPN,O,@cristinak,No
.,PUNCT,PUNCT,O,.,No
Le,PRON,PRON,B,Le,No
escribió,Name Entity,VERB,I,escribir,No
un,DET,DET,I,uno,No
mail,Name Entity,NOUN,I,mail,No
a,ADP,ADP,O,a,No
cristina@gmail.com,PROPN,PROPN,B,cristina@gmail.com,No
y,CONJ,CONJ,O,y,No
después,ADV,ADV,O,después,No
a,ADP,ADP,O,a,No
su,DET,DET,O,su,No
sitio,,NOUN,O,sitiar,
web,,ADJ,O,web,
www.cristina.com.ar,,NOUN,O,www.cristina.com.ar,
.,PUNCT,PUNCT,O,.,No
Sus,DET,DET,B,Sus,No
padres,Name Entity,NOUN,I,padre,No
se,PRON,PRON,O,se,No
conocieron,,VERB,O,conocer,
en,ADP,ADP,O,en,No
una,DET,DET,O,uno,No
manifestación,,NOUN,O,manifestación,
contra,ADP,ADP,O,contra,No
la,DET,DET,O,lo,No
guerra,Name Entity,NOUN,B,guerra,No
de,ADP,ADP,I,de,No
Vietnam,PROPN,PROPN,O,Vietnam,No
",",PUNCT,PUNCT,O,",",No
donde,PRON,PRON,O,donde,No
combatieron,,VERB,O,combatir,
60.000,NUM,NUM,O,60.000,No
australianos,,ADJ,O,australiano,
.,PUNCT,PUNCT,O,.,No
